name,category,categories
Root Category,,1
Computing,Computing,"1,1000"
Computer Accessories,Computing\Computer Accessories,"1,1000,1001"
Audio & Video Accessories,Computing\Computer Accessories\Audio & Video Accessories,"1,1000,1001,1002"
Computer Headsets,Computing\Computer Accessories\Audio & Video Accessories\Computer Headsets,"1,1000,1001,1002,1003"
Computer Microphones,Computing\Computer Accessories\Audio & Video Accessories\Computer Microphones,"1,1000,1001,1002,1004"
Computer Speakers,Computing\Computer Accessories\Audio & Video Accessories\Computer Speakers,"1,1000,1001,1002,1005"
Webcams,Computing\Computer Accessories\Audio & Video Accessories\Webcams,"1,1000,1001,1002,1006"
Blank Media,Computing\Computer Accessories\Blank Media,"1,1000,1001,1007"
BD-R Discs,Computing\Computer Accessories\Blank Media\BD-R Discs,"1,1000,1001,1007,1008"
BD-RE Discs,Computing\Computer Accessories\Blank Media\BD-RE Discs,"1,1000,1001,1007,1009"
CD-R Discs,Computing\Computer Accessories\Blank Media\CD-R Discs,"1,1000,1001,1007,1010"
CD-RW Discs,Computing\Computer Accessories\Blank Media\CD-RW Discs,"1,1000,1001,1007,1011"
DATs,Computing\Computer Accessories\Blank Media\DATs,"1,1000,1001,1007,1012"
DVD+R Discs,Computing\Computer Accessories\Blank Media\DVD+R Discs,"1,1000,1001,1007,1013"
DVD+RW Discs,Computing\Computer Accessories\Blank Media\DVD+RW Discs,"1,1000,1001,1007,1014"
DVD-R Discs,Computing\Computer Accessories\Blank Media\DVD-R Discs,"1,1000,1001,1007,1015"
DVD-RAM Discs,Computing\Computer Accessories\Blank Media\DVD-RAM Discs,"1,1000,1001,1007,1016"
DVD-RW Discs,Computing\Computer Accessories\Blank Media\DVD-RW Discs,"1,1000,1001,1007,1017"
Data Cartridges,Computing\Computer Accessories\Blank Media\Data Cartridges,"1,1000,1001,1007,1018"
Floppy Diskettes,Computing\Computer Accessories\Blank Media\Floppy Diskettes,"1,1000,1001,1007,1019"
Minidiscs,Computing\Computer Accessories\Blank Media\Minidiscs,"1,1000,1001,1007,1020"
Zip Discs,Computing\Computer Accessories\Blank Media\Zip Discs,"1,1000,1001,1007,1021"
Cable Security Devices,Computing\Computer Accessories\Cable Security Devices,"1,1000,1001,1022"
Cables & Interconnects,Computing\Computer Accessories\Cables & Interconnects,"1,1000,1001,1023"
Ethernet Cables,Computing\Computer Accessories\Cables & Interconnects\Ethernet Cables,"1,1000,1001,1023,1024"
Cat 5 Cables,Computing\Computer Accessories\Cables & Interconnects\Ethernet Cables\Cat 5 Cables,"1,1000,1001,1023,1024,1025"
Cat 5e Cables,Computing\Computer Accessories\Cables & Interconnects\Ethernet Cables\Cat 5e Cables,"1,1000,1001,1023,1024,1026"
Cat 6 Cables,Computing\Computer Accessories\Cables & Interconnects\Ethernet Cables\Cat 6 Cables,"1,1000,1001,1023,1024,1027"
Cat 7 Cables,Computing\Computer Accessories\Cables & Interconnects\Ethernet Cables\Cat 7 Cables,"1,1000,1001,1023,1024,1028"
Firewire Cables,Computing\Computer Accessories\Cables & Interconnects\Firewire Cables,"1,1000,1001,1023,1029"
Lightning Cables,Computing\Computer Accessories\Cables & Interconnects\Lightning Cables,"1,1000,1001,1023,1030"
Mini-SAS Cables,Computing\Computer Accessories\Cables & Interconnects\Mini-SAS Cables,"1,1000,1001,1023,1031"
Modem Cables,Computing\Computer Accessories\Cables & Interconnects\Modem Cables,"1,1000,1001,1023,1032"
PS,Computing\Computer Accessories\Cables & Interconnects\PS,"1,1000,1001,1023,1033"
2 Cables,Computing\Computer Accessories\Cables & Interconnects\PS\2 Cables,"1,1000,1001,1023,1033,1034"
Parallel Cables,Computing\Computer Accessories\Cables & Interconnects\Parallel Cables,"1,1000,1001,1023,1035"
Power Cables,Computing\Computer Accessories\Cables & Interconnects\Power Cables,"1,1000,1001,1023,1036"
SAS Cables,Computing\Computer Accessories\Cables & Interconnects\SAS Cables,"1,1000,1001,1023,1037"
SATA Cables,Computing\Computer Accessories\Cables & Interconnects\SATA Cables,"1,1000,1001,1023,1038"
SCSI Cables,Computing\Computer Accessories\Cables & Interconnects\SCSI Cables,"1,1000,1001,1023,1039"
